#t x y z qx qy qz qw
1520511143.121139288 0.039055300 -0.317246835 1.137038567 0.043515898 -0.037236820 -0.000865026 0.998358171
1520511143.129472256 0.039739839 -0.317154753 1.136524673 0.044428452 -0.036812693 -0.001311463 0.998333220
1520511143.137805223 0.040390203 -0.317055038 1.136093023 0.044743957 -0.036320704 -0.001962164 0.998336083
1520511143.146138191 0.041128001 -0.316938761 1.135666986 0.044975906 -0.035614668 -0.002001517 0.998351019
1520511143.154472351 0.041864670 -0.316813514 1.135226234 0.045376733 -0.035164574 -0.002924614 0.998346559
1520511143.162805319 0.042586564 -0.316534514 1.134662158 0.046165155 -0.034689350 -0.003741853 0.998324309
1520511143.171138287 0.043346275 -0.316391519 1.134213465 0.046114085 -0.033818379 -0.003952936 0.998355740
1520511143.179472208 0.044146876 -0.316185451 1.133738163 0.046297987 -0.033053694 -0.004353785 0.998371171
1520511143.187805176 0.045038448 -0.315958135 1.133256989 0.046493704 -0.032269624 -0.004435157 0.998387368
1520511143.196139336 0.045917996 -0.315652022 1.132745376 0.047071770 -0.031744592 -0.005401358 0.998372353
1520511143.204472303 0.046834645 -0.315341375 1.132253526 0.047169464 -0.031030884 -0.005802622 0.998387928
1520511143.212805271 0.047774735 -0.315044900 1.131764992 0.047645610 -0.030118529 -0.005918781 0.998392577
1520511143.221139193 0.048715867 -0.314848265 1.131260271 0.047523540 -0.028742981 -0.005398938 0.998441889
1520511143.229472160 0.049654616 -0.314443288 1.130750821 0.047763266 -0.027998619 -0.006089791 0.998447626
1520511143.237805128 0.050455569 -0.314144613 1.130276940 0.047758913 -0.026349946 -0.006067976 0.998492837
1520511143.246139288 0.051482000 -0.313794812 1.129774410 0.047424795 -0.025005107 -0.005511654 0.998546571
1520511143.254472256 0.052642248 -0.313547308 1.129401029 0.047443794 -0.024306477 -0.005485683 0.998563062
1520511143.262805223 0.053768424 -0.313143665 1.128884737 0.047735892 -0.023443219 -0.005616382 0.998569054
1520511143.271138191 0.054850813 -0.312793666 1.128397654 0.047427504 -0.022163521 -0.005398173 0.998614175
1520511143.279472351 0.056037309 -0.312421261 1.127945319 0.047507321 -0.021446459 -0.005311911 0.998626501
1520511143.287805319 0.057131471 -0.312052157 1.127416733 0.047061482 -0.019948600 -0.004548030 0.998682425
1520511143.296138287 0.058374997 -0.311616478 1.126918455 0.047453039 -0.019241244 -0.004956746 0.998675830
1520511143.304472208 0.059625539 -0.311215159 1.126463755 0.047238478 -0.018406186 -0.004787648 0.998702567
1520511143.312805176 0.060954499 -0.310741616 1.125944030 0.047597626 -0.017841618 -0.004749754 0.998695941
1520511143.321139336 0.062288642 -0.310302650 1.125445904 0.047615232 -0.016989399 -0.004364421 0.998711721
1520511143.329472303 0.063735778 -0.309787905 1.124940749 0.048042417 -0.016409161 -0.003790969 0.998703306
1520511143.337805271 0.065123749 -0.309294973 1.124504642 0.048071169 -0.016251539 -0.003309890 0.998706210
1520511143.346139193 0.066556031 -0.308885650 1.124025036 0.047203659 -0.016201555 -0.002432522 0.998750923
1520511143.354472160 0.067921542 -0.308294289 1.123609914 0.047339780 -0.016014884 -0.001608244 0.998749159
1520511143.362805128 0.069504904 -0.307775770 1.123131514 0.048429468 -0.017136754 -0.001811721 0.998677944
1520511143.371139288 0.070894589 -0.307316508 1.122692284 0.048341132 -0.016950820 -0.000768042 0.998686745
1520511143.379472256 0.072304911 -0.306945433 1.122235850 0.048333846 -0.016965161 -0.000185957 0.998687132
1520511143.387805223 0.073812860 -0.306428274 1.121691787 0.049248677 -0.017076242 -0.000194084 0.998640542
1520511143.396138191 0.075164937 -0.306069468 1.121241560 0.049129215 -0.016703444 0.000406874 0.998652667
1520511143.404472351 0.076826986 -0.305619451 1.120797623 0.049937739 -0.017311697 -0.000158464 0.998602274
1520511143.412805319 0.078267405 -0.305315658 1.120379995 0.049724721 -0.016119180 0.000834555 0.998632529
1520511143.421138287 0.079818176 -0.305048090 1.119889097 0.049349302 -0.016074366 0.001026737 0.998651695
1520511143.429472208 0.081318269 -0.304615991 1.119398360 0.049606558 -0.015215604 0.000924345 0.998652502
1520511143.437805176 0.082995749 -0.304258319 1.118945775 0.049525390 -0.015436075 0.000705514 0.998653326
1520511143.446139336 0.084598137 -0.303819914 1.118442252 0.049533206 -0.014711837 0.000938506 0.998663678
1520511143.454472303 0.086378132 -0.303514950 1.118118898 0.049576772 -0.014086768 0.001230273 0.998670212
1520511143.462805271 0.088125134 -0.302997327 1.117651671 0.049473273 -0.014113604 0.000613651 0.998675535
1520511143.471139193 0.089865701 -0.302574647 1.117224563 0.049110352 -0.013042954 0.001034971 0.998707657
1520511143.479472160 0.091818722 -0.302046178 1.116828386 0.049295464 -0.013431003 0.000622020 0.998693736
1520511143.487805128 0.093679218 -0.301543359 1.116468545 0.049326554 -0.012671909 0.001009498 0.998701805
1520511143.496139288 0.095729656 -0.301115333 1.116145265 0.049139188 -0.012718069 0.000654227 0.998710750
1520511143.504472256 0.097833491 -0.300695582 1.115850432 0.048886525 -0.012580940 0.001030346 0.998724570
1520511143.512805223 0.099939037 -0.300208865 1.115521564 0.048972399 -0.012877332 0.000988481 0.998716627
1520511143.521138191 0.102023467 -0.299737356 1.115227130 0.048994588 -0.012692410 0.001069496 0.998717823
1520511143.529472351 0.104150391 -0.299172645 1.114931964 0.049205466 -0.013054589 0.000678778 0.998703129
1520511143.537805319 0.106506262 -0.298771387 1.114704630 0.049300043 -0.013684925 0.000513153 0.998690125
1520511143.546138287 0.108744115 -0.298207485 1.114367027 0.049468247 -0.014233909 0.000487900 0.998674146
1520511143.554472208 0.111146242 -0.297741808 1.114120919 0.049698650 -0.014733051 0.000235264 0.998655559
1520511143.562805176 0.113585757 -0.297271840 1.113852895 0.049858349 -0.014904037 0.000517561 0.998644955
1520511143.571139336 0.116114280 -0.296782560 1.113624135 0.050311096 -0.015049737 0.000441064 0.998620100
1520511143.579472303 0.118748397 -0.296280308 1.113333097 0.050514369 -0.015764568 0.000201423 0.998598887
1520511143.587805271 0.121394343 -0.295771957 1.113151678 0.050459476 -0.015669981 0.000203988 0.998603150
1520511143.596139193 0.124132844 -0.295212511 1.112926181 0.050817304 -0.016111260 -0.000088232 0.998578000
1520511143.604472160 0.126977261 -0.294687305 1.112793563 0.051248174 -0.016216999 -0.000010692 0.998554272
1520511143.612805128 0.129721071 -0.294061634 1.112725190 0.050892518 -0.016244831 -0.000069559 0.998572006
1520511143.621139288 0.132614420 -0.293470350 1.112605412 0.050948106 -0.016319318 -0.000114277 0.998567953
1520511143.629472256 0.135595263 -0.292907518 1.112494980 0.050362768 -0.016466684 -0.000258604 0.998595200
1520511143.637805223 0.138663031 -0.292368423 1.112516245 0.050033322 -0.016656786 -0.000601962 0.998608460
1520511143.646138191 0.141771785 -0.291765758 1.112511521 0.049663675 -0.016420510 -0.000265215 0.998630971
1520511143.654472351 0.144950627 -0.291118993 1.112514092 0.049178021 -0.016962038 -0.001079018 0.998645406
1520511143.662805319 0.148212866 -0.290566430 1.112626025 0.048445787 -0.016619803 -0.000747177 0.998687253
1520511143.671138287 0.151551944 -0.289907115 1.112616411 0.047352592 -0.017139269 -0.001145600 0.998730527
1520511143.679472208 0.154978554 -0.289248936 1.112751773 0.046677139 -0.017213618 -0.001244556 0.998760926
1520511143.687805176 0.158438339 -0.288745041 1.112894402 0.044544592 -0.017102553 -0.001191623 0.998860282
1520511143.696139336 0.162037899 -0.287918215 1.112940703 0.045253918 -0.017074784 -0.001311220 0.998828722
1520511143.704472303 0.165652488 -0.287363174 1.113094739 0.043113610 -0.017200339 -0.001683740 0.998920682
1520511143.712805271 0.169215161 -0.286476965 1.113093661 0.043544348 -0.016919471 -0.002460865 0.998905183
1520511143.721139193 0.173061675 -0.285955890 1.113286669 0.041727600 -0.017000590 -0.001859695 0.998982647
1520511143.729472160 0.176897506 -0.285297490 1.113420078 0.041180742 -0.016819563 -0.001971103 0.999008190
1520511143.737805128 0.180840569 -0.284348027 1.113510198 0.042062334 -0.016933324 -0.003015369 0.998966932
1520511143.746139288 0.184694190 -0.283656572 1.113544554 0.040978060 -0.016649702 -0.003076108 0.999016578
1520511143.754472256 0.188726401 -0.282888897 1.113641856 0.041066632 -0.016498911 -0.003323691 0.999014650
1520511143.762805223 0.192843068 -0.282148706 1.113747587 0.041474607 -0.016720896 -0.003702740 0.998992772
