t,x,y,z,qx,qy,qz,qw
1520617230.079490900,0.802160832,-0.175710629,1.283899391,0.008510583,0.009144670,-0.034583368,0.999323739
1520617230.087823868,0.802572818,-0.175249385,1.284269601,0.008989800,0.008406856,-0.032894128,0.999383052
1520617230.096157789,0.802900234,-0.174862340,1.284633612,0.008753587,0.007643634,-0.030905536,0.999454750
1520617230.104490995,0.803327276,-0.174472633,1.285037898,0.009468832,0.006605799,-0.030139190,0.999479031
1520617230.112823963,0.803529072,-0.174082153,1.285284158,0.009698827,0.006061110,-0.028344343,0.999532788
1520617230.121156931,0.804054858,-0.173656960,1.285709461,0.010762214,0.004534487,-0.027482197,0.999554072
1520617230.129490852,0.804360320,-0.173392571,1.286070716,0.011118884,0.003744112,-0.026446327,0.999581384
1520617230.137823820,0.804512885,-0.173175817,1.286275993,0.011165585,0.003217914,-0.025234309,0.999614028
1520617230.146157980,0.804681217,-0.172953227,1.286686456,0.011539932,0.002533545,-0.024458016,0.999631040
1520617230.154490948,0.804863784,-0.172643371,1.286875413,0.012489086,0.001315580,-0.023891032,0.999635689
1520617230.162823915,0.804943314,-0.172588606,1.287321533,0.012849785,0.000986834,-0.023285587,0.999645783
1520617230.171157837,0.805022448,-0.172427755,1.287709335,0.013305609,0.000112761,-0.022828359,0.999650846
1520617230.179490805,0.805121428,-0.172259080,1.288020616,0.014062034,-0.000928612,-0.022449233,0.999648653
1520617230.187823772,0.805021739,-0.172231469,1.288418631,0.014749458,-0.001541489,-0.022488125,0.999637115
1520617230.196156979,0.804934358,-0.172222453,1.288697702,0.015081972,-0.002479624,-0.022304128,0.999634389
1520617230.204490900,0.804863554,-0.172202761,1.289041979,0.015543791,-0.003158571,-0.022204607,0.999627615
1520617230.212823868,0.805068187,-0.172545309,1.289668747,0.014962271,-0.004749918,-0.022521142,0.999623112
1520617230.221157789,0.804742280,-0.172299699,1.289587853,0.016724526,-0.003801478,-0.022175392,0.999606968
1520617230.229490995,0.804796754,-0.172353987,1.289748697,0.017513473,-0.004304558,-0.022069173,0.999593768
1520617230.237823963,0.804720170,-0.172434404,1.289945309,0.017942982,-0.004096589,-0.021894602,0.999590863
1520617230.246156931,0.804706346,-0.172423898,1.289988517,0.019029695,-0.004254052,-0.021962814,0.999568611
1520617230.254490852,0.804797799,-0.172412224,1.290017946,0.019742782,-0.004257377,-0.021750770,0.999559404
1520617230.262823820,0.804874539,-0.172435398,1.290167302,0.019932625,-0.003547559,-0.021122897,0.999571873
1520617230.271157980,0.805301665,-0.172724335,1.290414130,0.019264470,-0.004168001,-0.020792939,0.999589497
1520617230.279490948,0.805134435,-0.172299630,1.290068022,0.021723153,-0.002103922,-0.020667623,0.999548162
1520617230.287823915,0.805239564,-0.172289106,1.289916249,0.021479319,-0.001318157,-0.019503311,0.999578172
1520617230.296157837,0.805343087,-0.172307055,1.289891532,0.021047553,-0.000074110,-0.018592543,0.999605578
1520617230.304490805,0.805832081,-0.172525292,1.290052734,0.020123810,-0.000057296,-0.017727296,0.999640321
1520617230.312823772,0.805695989,-0.172211674,1.289635705,0.021626927,0.002116673,-0.016919947,0.999620684
1520617230.321156979,0.805888534,-0.172211598,1.289598284,0.021236005,0.002612629,-0.016192269,0.999639943
1520617230.329490900,0.806025773,-0.172244421,1.289662116,0.020481996,0.003462932,-0.015407613,0.999665495
1520617230.337823868,0.806183407,-0.172284363,1.289689141,0.019838055,0.004120460,-0.014662561,0.999687192
1520617230.346157789,0.806301289,-0.172378707,1.289783230,0.018534380,0.004413495,-0.014014231,0.999720260
1520617230.354490995,0.806415685,-0.172487454,1.289881532,0.017543096,0.005132291,-0.013360744,0.999743662
