#t x y z qx qy qz qw
1520425510.066306829 0.701152817 0.492241875 1.175580821 0.063309397 -0.048096169 -0.040094511 0.996027665
1520425510.074639797 0.700548090 0.491854309 1.175564337 0.061947860 -0.047443966 -0.040050911 0.996146303
1520425510.082972765 0.700181676 0.492180405 1.175085769 0.063331721 -0.048004744 -0.040994119 0.995994036
1520425510.091306925 0.699897363 0.492233116 1.174748128 0.063621851 -0.048278105 -0.041175245 0.995954860
1520425510.099639893 0.699286317 0.491866757 1.174739623 0.062187704 -0.047259653 -0.040909724 0.996105220
1520425510.107972860 0.698869276 0.491892997 1.174455828 0.062215214 -0.047042870 -0.041128796 0.996104742
1520425510.116305828 0.698444797 0.492193977 1.174018600 0.063097229 -0.047115814 -0.041814728 0.996017253
1520425510.124639750 0.698064429 0.492199476 1.173783701 0.062757242 -0.046875351 -0.041944549 0.996044620
1520425510.132972717 0.697666427 0.492277773 1.173551009 0.062466024 -0.046525224 -0.041995517 0.996077194
1520425510.141306877 0.697412341 0.492448947 1.173188523 0.062651122 -0.046529045 -0.042050053 0.996063089
1520425510.149639845 0.696837477 0.492380163 1.173051231 0.061950407 -0.045535387 -0.042261373 0.996143891
1520425510.157972813 0.696454992 0.492452023 1.172813152 0.061614398 -0.044984012 -0.042259751 0.996189850
1520425510.166305780 0.696139515 0.492569608 1.172563541 0.061458565 -0.044610354 -0.042293012 0.996214867
1520425510.174639702 0.695757730 0.492662884 1.172341325 0.061055801 -0.044021402 -0.042199097 0.996269814
1520425510.182972908 0.695532978 0.492801771 1.172036226 0.061054377 -0.043837700 -0.041954033 0.996288351
1520425510.191306829 0.695162170 0.492921455 1.171802390 0.060698100 -0.043333916 -0.041696838 0.996342956
1520425510.199639797 0.694747717 0.493090600 1.171510269 0.060739752 -0.043021080 -0.041640111 0.996356347
1520425510.207972765 0.694364335 0.493169596 1.171308943 0.060246928 -0.042444796 -0.041170996 0.996430477
1520425510.216306925 0.694002104 0.493310565 1.171044203 0.060201804 -0.042274064 -0.041020423 0.996446673
1520425510.224639893 0.693586732 0.493432132 1.170807582 0.059873697 -0.041880218 -0.040606447 0.996500027
1520425510.232972860 0.693180208 0.493541524 1.170539305 0.059754217 -0.041602606 -0.040295756 0.996531439
1520425510.241305828 0.692688099 0.493485926 1.170383270 0.059280712 -0.040771324 -0.039742036 0.996616309
1520425510.249639750 0.692266328 0.493604866 1.170114757 0.059190997 -0.040585876 -0.039535413 0.996637428
1520425510.257972717 0.691903022 0.493783523 1.169843541 0.059394928 -0.040677336 -0.039662611 0.996616513
1520425510.266306877 0.691556792 0.493976519 1.169457292 0.059857474 -0.040926270 -0.039609672 0.996580753
1520425510.274639845 0.691137153 0.494108955 1.169170928 0.059936922 -0.040758053 -0.039471039 0.996588372
1520425510.282972813 0.690625784 0.494235331 1.168853767 0.059840420 -0.040292709 -0.039169936 0.996624974
1520425510.291305780 0.690231981 0.494394789 1.168507803 0.060067853 -0.040186490 -0.039140766 0.996616726
1520425510.299639702 0.689592334 0.494327905 1.168357988 0.059479434 -0.039130026 -0.038947424 0.996701628
1520425510.307972908 0.689063627 0.494438871 1.168103280 0.059417343 -0.038702790 -0.039125768 0.996715028
1520425510.316306829 0.688546837 0.494549883 1.167807606 0.059629149 -0.038395111 -0.039065292 0.996716651
1520425510.324639797 0.687977758 0.494407237 1.167768292 0.058676477 -0.037871322 -0.038928491 0.996798579
1520425510.332972765 0.687349235 0.494528900 1.167536986 0.058869126 -0.037678177 -0.039239696 0.996782337
1520425510.341306925 0.686704414 0.494900439 1.167203156 0.059368996 -0.037920913 -0.040049989 0.996711255
1520425510.349639893 0.685926816 0.495029293 1.166978849 0.059570072 -0.037641318 -0.040567126 0.996688941
1520425510.357972860 0.685252792 0.495177996 1.166730624 0.060022468 -0.037985384 -0.041045301 0.996629167
1520425510.366305828 0.684343012 0.495186877 1.166753681 0.059522891 -0.037603628 -0.041655287 0.996648298
1520425510.374639750 0.683342763 0.495269480 1.166598985 0.059568547 -0.037533187 -0.042352442 0.996618843
1520425510.382972717 0.682516581 0.495334430 1.166560175 0.059389685 -0.037752087 -0.042662096 0.996608043
1520425510.391306877 0.681652553 0.495378829 1.166475712 0.059507616 -0.038047555 -0.042945752 0.996577588
1520425510.399639845 0.680939636 0.495610582 1.166272446 0.060198608 -0.039134021 -0.043582460 0.996466369
1520425510.407972813 0.679839734 0.495274009 1.166521081 0.058678924 -0.038268261 -0.042977698 0.996616898
1520425510.416305780 0.678998354 0.495349555 1.166458991 0.059096881 -0.038669601 -0.043039557 0.996574040
1520425510.424639702 0.678147079 0.495780071 1.166172630 0.060443908 -0.039291911 -0.043257904 0.996459449
1520425510.432972908 0.677381145 0.495949651 1.165982211 0.061009047 -0.039927981 -0.043022249 0.996409925
1520425510.441306829 0.676480100 0.495937008 1.166060410 0.060638343 -0.039656781 -0.042455127 0.996467708
1520425510.449639797 0.675612067 0.496042097 1.165948510 0.060829840 -0.039875476 -0.041786924 0.996475554
1520425510.457972765 0.675063023 0.496369020 1.165715885 0.061707709 -0.040779538 -0.040950998 0.996419693
1520425510.466306925 0.674280716 0.496457436 1.165691788 0.061435957 -0.040546716 -0.039735783 0.996495185
1520425510.474639893 0.673407903 0.496415467 1.165846735 0.060636981 -0.040050734 -0.038687022 0.996605443
1520425510.482972860 0.672687270 0.496345670 1.165945244 0.059782798 -0.039744549 -0.037284589 0.996722753
1520425510.491305828 0.671993056 0.496502997 1.165887970 0.059676763 -0.039596743 -0.036087771 0.996779040
1520425510.499639750 0.671291097 0.496719648 1.165823786 0.059581665 -0.039348196 -0.034980747 0.996834034
1520425510.507972717 0.670582068 0.496905499 1.165717777 0.059554759 -0.039109960 -0.033955229 0.996880476
1520425510.516306877 0.670005105 0.497043414 1.165736738 0.059379605 -0.038652300 -0.032820244 0.996946786
1520425510.524639845 0.669580580 0.497578284 1.165417554 0.060725339 -0.039286675 -0.032196393 0.996861265
1520425510.532972813 0.668944492 0.497840113 1.165331824 0.060917423 -0.038862792 -0.031433883 0.996890496
1520425510.541305780 0.668215693 0.497937677 1.165466064 0.060202962 -0.037694504 -0.030232036 0.997015924
1520425510.549639702 0.667647484 0.498127927 1.165449490 0.060068777 -0.037075274 -0.029205246 0.997077840
1520425510.557972908 0.667015110 0.498294584 1.165449448 0.059798197 -0.036257959 -0.028359411 0.997148575
1520425510.566306829 0.666528558 0.498378366 1.165516903 0.059549787 -0.035708727 -0.027310270 0.997212544
1520425510.574639797 0.666007418 0.498629373 1.165497222 0.059853509 -0.035131891 -0.026749044 0.997230062
1520425510.582972765 0.665560602 0.498741749 1.165523468 0.059632384 -0.034550982 -0.026020760 0.997282873
1520425510.591306925 0.664964907 0.498926588 1.165481847 0.059472463 -0.033813359 -0.025330923 0.997335464
1520425510.599639893 0.664414189 0.498855159 1.165606147 0.058551054 -0.032666201 -0.024072753 0.997459371
1520425510.607972860 0.663874396 0.498897438 1.165704364 0.057958134 -0.031852596 -0.023396998 0.997536389
1520425510.616305828 0.663454047 0.498959741 1.165795314 0.057649532 -0.031340101 -0.022693997 0.997586744
1520425510.624639750 0.662848786 0.499047297 1.165780718 0.057339673 -0.030821605 -0.022013304 0.997636008
1520425510.632972717 0.662386580 0.499062773 1.165864570 0.057032191 -0.030687668 -0.021524498 0.997668428
1520425510.641306877 0.661943748 0.499057115 1.165967350 0.056594981 -0.030508334 -0.020829718 0.997713572
1520425510.649639845 0.661390240 0.499069109 1.165996676 0.056329846 -0.030248145 -0.020198849 0.997749470
1520425510.657972813 0.660913248 0.499283501 1.165899618 0.057097652 -0.030684510 -0.020397175 0.997688466
1520425510.666305780 0.660407044 0.498958838 1.166122298 0.055821882 -0.030377122 -0.019444717 0.997789081
1520425510.674639702 0.659829643 0.499190531 1.165942159 0.056569881 -0.030644091 -0.019526569 0.997737190
1520425510.682972908 0.659377178 0.499104028 1.165998406 0.056567629 -0.030896132 -0.019262276 0.997734683
1520425510.691306829 0.658849486 0.498778351 1.166150805 0.055701667 -0.030694782 -0.018610247 0.997801991
1520425510.699639797 0.658298530 0.498968518 1.165978853 0.056538237 -0.030962298 -0.018762154 0.997743828
1520425510.707972765 0.657937742 0.498842003 1.166032728 0.056410060 -0.031160696 -0.018287426 0.997753720
1520425510.716306925 0.657368314 0.498738955 1.165953682 0.056699014 -0.031231231 -0.018281272 0.997735249
1520425510.724639893 0.656867583 0.498645467 1.165923281 0.056868441 -0.031296946 -0.018173251 0.997725521
1520425510.732972860 0.656466264 0.498562394 1.165924724 0.057177348 -0.031681386 -0.018385840 0.997691837
1520425510.741305828 0.656025245 0.498467605 1.165953131 0.057060566 -0.031774237 -0.018122041 0.997700397
1520425510.749639750 0.655522816 0.498418617 1.165887465 0.057451702 -0.032089629 -0.018286809 0.997664849
1520425510.757972717 0.655057447 0.498316145 1.165845639 0.057621782 -0.032341526 -0.018152436 0.997649360
1520425510.766306877 0.654626568 0.498196468 1.165888324 0.057728312 -0.032871507 -0.018300082 0.997623182
1520425510.774639845 0.654221708 0.497997933 1.165982253 0.057578867 -0.033110793 -0.018119096 0.997627209
1520425510.782972813 0.653692948 0.497926823 1.165929618 0.058052768 -0.033484469 -0.018373600 0.997582617
1520425510.791305780 0.653289291 0.497771513 1.165988574 0.058145149 -0.033832171 -0.018348435 0.997565968
1520425510.799639702 0.652802855 0.497663336 1.165989031 0.058420259 -0.034147229 -0.018435584 0.997537553
1520425510.807972908 0.652336287 0.497473071 1.166026270 0.058523609 -0.034385264 -0.018473439 0.997522618
1520425510.816306829 0.651830363 0.497368385 1.165976632 0.058927999 -0.034663951 -0.018448868 0.997489619
1520425510.824639797 0.651355384 0.497013778 1.166151973 0.058501430 -0.034768981 -0.018246052 0.997514803
1520425510.832972765 0.650858356 0.497089128 1.166066457 0.059451835 -0.035412384 -0.018690643 0.997427743
1520425510.841306925 0.650308836 0.496781041 1.166211212 0.058910059 -0.035559551 -0.018438395 0.997459347
1520425510.849639893 0.649860755 0.496643188 1.166321207 0.058867370 -0.035849408 -0.018359361 0.997452949
1520425510.857972860 0.649449171 0.496524042 1.166452816 0.058654844 -0.036282363 -0.018067875 0.997455138
1520425510.866305828 0.648999036 0.496421317 1.166564595 0.058534161 -0.036511603 -0.017892957 0.997457015
1520425510.874639750 0.648565828 0.496325038 1.166706111 0.058224047 -0.036596903 -0.017591579 0.997477400
1520425510.882972717 0.648139666 0.496218987 1.166901006 0.057703282 -0.036559814 -0.017244052 0.997515090
1520425510.891306877 0.647769862 0.496134898 1.167093906 0.057331091 -0.036562467 -0.016842296 0.997543317
1520425510.899639845 0.647347531 0.496060711 1.167268943 0.057055455 -0.036510024 -0.016687501 0.997563642
1520425510.907972813 0.646957472 0.495956506 1.167436069 0.056697993 -0.036397740 -0.016418350 0.997592592
1520425510.916305780 0.646538719 0.495816610 1.167621264 0.056227207 -0.036113639 -0.016143641 0.997634046
1520425510.924639702 0.646099276 0.495739002 1.167740823 0.056248658 -0.035989787 -0.016018750 0.997639325
1520425510.932972908 0.645698923 0.495643361 1.167911750 0.056034658 -0.035736483 -0.015803105 0.997663913
1520425510.941306829 0.645300507 0.495523047 1.168100364 0.055806825 -0.035502389 -0.015690583 0.997686817
1520425510.949639797 0.645001508 0.495432287 1.168334291 0.055746448 -0.035407850 -0.015569903 0.997695442
1520425510.957972765 0.644598644 0.495269107 1.168546414 0.055317294 -0.035143777 -0.015282533 0.997733109
1520425510.966306925 0.644235595 0.495143351 1.168743117 0.055165052 -0.035024382 -0.015127648 0.997748096
1520425510.974639893 0.643869402 0.495027553 1.168953677 0.055009284 -0.034887888 -0.014997337 0.997763446
1520425510.982972860 0.643548186 0.494921716 1.169172872 0.055082589 -0.034892716 -0.015054273 0.997758375
1520425510.991305828 0.643168466 0.494810647 1.169403081 0.054919338 -0.034603048 -0.014967486 0.997778768
1520425510.999639750 0.642718445 0.494549051 1.169722277 0.053851997 -0.034270917 -0.014741168 0.997851775
1520425511.007972717 0.642336140 0.494664229 1.169813132 0.054591783 -0.034235660 -0.015263460 0.997804933
1520425511.016306877 0.641985465 0.494300174 1.170222940 0.053317277 -0.033699041 -0.014728236 0.997900156
1520425511.024639845 0.641657619 0.494130950 1.170528607 0.052645392 -0.033434601 -0.014635499 0.997946087
1520425511.032972813 0.641233221 0.494243937 1.170565224 0.053337954 -0.033639869 -0.015237816 0.997893396
1520425511.041305780 0.640904996 0.494036266 1.170917517 0.052501079 -0.033463537 -0.015073183 0.997946205
1520425511.049639702 0.640515220 0.493841576 1.171229785 0.051798126 -0.033449675 -0.015158502 0.997982111
1520425511.057972908 0.640129297 0.493667637 1.171502134 0.051414068 -0.033586014 -0.015271873 0.997995663
1520425511.066306829 0.639726173 0.493201640 1.171932893 0.050130387 -0.033440582 -0.015029781 0.998069525
1520425511.074639797 0.639337957 0.493018808 1.172192926 0.049814595 -0.033547735 -0.015081947 0.998080954
1520425511.082972765 0.638940626 0.492809701 1.172443118 0.049652420 -0.033502857 -0.015123612 0.998089912
1520425511.091306925 0.638566974 0.492639017 1.172652837 0.049728994 -0.033689202 -0.015278118 0.998077474
1520425511.099639893 0.638180408 0.492443683 1.172854709 0.049733378 -0.033830684 -0.015406046 0.998070503
1520425511.107972860 0.637833743 0.492247625 1.173116498 0.049567506 -0.033924901 -0.015405949 0.998075558
1520425511.116305828 0.637423605 0.492324865 1.173111920 0.050771726 -0.034487587 -0.016186473 0.997983385
1520425511.124639750 0.637038253 0.492126765 1.173320829 0.050885139 -0.034830456 -0.016471655 0.997961035
1520425511.132972717 0.636643363 0.491680882 1.173705541 0.050007668 -0.034770658 -0.016180448 0.998012238
1520425511.141306877 0.636219807 0.491740199 1.173736775 0.051113765 -0.035369721 -0.016890576 0.997923381
1520425511.149639845 0.635760585 0.491540192 1.173942949 0.051142205 -0.035644090 -0.017281429 0.997905469
1520425511.157972813 0.635369925 0.491073383 1.174371410 0.049997445 -0.035543414 -0.017095740 0.997970269
1520425511.166305780 0.635002188 0.490896979 1.174663487 0.049700766 -0.035744655 -0.017273537 0.997974839
1520425511.174639702 0.634613410 0.490973839 1.174709354 0.050724036 -0.036636242 -0.018663440 0.997865990
