t,x,y,z,qx,qy,qz,qw
1520439642.041437864,0.174427764,-0.063734153,1.151372494,0.038897962,-0.033250155,-0.011949899,0.998618333
1520439642.049772024,0.173839104,-0.063610352,1.151152128,0.038878972,-0.033438623,-0.012076280,0.998611259
1520439642.058104992,0.173212050,-0.063421126,1.150900574,0.038859243,-0.033498166,-0.012264571,0.998607737
1520439642.066437960,0.172596785,-0.063305368,1.150641363,0.038730064,-0.033557844,-0.012304636,0.998610259
1520439642.074770927,0.171859844,-0.062963388,1.150263651,0.039366314,-0.033510794,-0.012737904,0.998581527
1520439642.083104849,0.171255921,-0.062831426,1.149938003,0.039500170,-0.033667592,-0.012675800,0.998571757
1520439642.091438055,0.170619240,-0.062483340,1.149484360,0.040193025,-0.033989753,-0.012808756,0.998531498
1520439642.099771976,0.169953922,-0.062332224,1.149124486,0.040388146,-0.034024437,-0.012751455,0.998523177
1520439642.108104944,0.169268872,-0.062162409,1.148753919,0.040701364,-0.033868787,-0.012787544,0.998515289
1520439642.116437912,0.168561477,-0.061969967,1.148353185,0.041016442,-0.033699707,-0.012843397,0.998507400
1520439642.124770880,0.167834813,-0.061792828,1.147903705,0.041517214,-0.033597829,-0.012979997,0.998488371
1520439642.133105040,0.167209997,-0.061540537,1.147471190,0.041947412,-0.033565390,-0.013146036,0.998469309
1520439642.141438007,0.166475039,-0.061384226,1.147031846,0.042206461,-0.033385774,-0.013227711,0.998463335
1520439642.149770975,0.165711574,-0.061305154,1.146605251,0.042512107,-0.033199033,-0.013419805,0.998454032
1520439642.158104897,0.164880691,-0.061244313,1.146201420,0.042529024,-0.032897773,-0.013474403,0.998462548
1520439642.166437864,0.164091880,-0.061131051,1.145772410,0.042912213,-0.032598340,-0.013596961,0.998454312
1520439642.174772024,0.163335232,-0.060889695,1.145230543,0.043606169,-0.032465702,-0.013781238,0.998426040
1520439642.183104992,0.162531669,-0.060761018,1.144752975,0.044090584,-0.032209974,-0.013867522,0.998411854
1520439642.191437960,0.161750610,-0.060697764,1.144372704,0.044191107,-0.031985097,-0.014022051,0.998412481
1520439642.199770927,0.160863585,-0.060701749,1.144009620,0.044066238,-0.031580368,-0.014084095,0.998430010
1520439642.208104849,0.159999842,-0.060613455,1.143549739,0.044211509,-0.031367443,-0.014308094,0.998427115
1520439642.216438055,0.159134865,-0.060468772,1.143031536,0.044642126,-0.031317203,-0.014632034,0.998404836
1520439642.224771976,0.158234060,-0.060387855,1.142588316,0.045120772,-0.031023113,-0.014842280,0.998389398
1520439642.233104944,0.157241164,-0.060432789,1.142233778,0.045025209,-0.030611806,-0.014987292,0.998404241
1520439642.241437912,0.156020558,-0.060596040,1.142042144,0.043763494,-0.029582825,-0.015100319,0.998489656
1520439642.249770880,0.155301944,-0.060291521,1.141386490,0.045733174,-0.030196604,-0.015530937,0.998376398
1520439642.258105040,0.154293385,-0.060282438,1.140979396,0.045545676,-0.030436318,-0.016039289,0.998369653
1520439642.266438007,0.153214502,-0.060082580,1.140495076,0.046021068,-0.030629696,-0.016611924,0.998332573
1520439642.274770975,0.152130172,-0.060002512,1.140037979,0.046399960,-0.030509433,-0.016574787,0.998319335
1520439642.283104897,0.151017566,-0.059882095,1.139670241,0.046614968,-0.030491514,-0.017046230,0.998301928
1520439642.291437864,0.149962906,-0.059786236,1.139229921,0.047168811,-0.030662091,-0.016929637,0.998272672
1520439642.299772024,0.148820884,-0.059652506,1.138827007,0.047703496,-0.030916964,-0.017200591,0.998234771
1520439642.308104992,0.147574276,-0.059502064,1.138416909,0.047845516,-0.031078818,-0.017387448,0.998219711
1520439642.316437960,0.146385318,-0.059427775,1.138064098,0.048046500,-0.031119233,-0.017198015,0.998212079
1520439642.324770927,0.145158535,-0.059283737,1.137710015,0.048451133,-0.031255030,-0.017389144,0.998184967
1520439642.333104849,0.143908775,-0.059118024,1.137300858,0.049151777,-0.031374980,-0.017153477,0.998151026
1520439642.341438055,0.142612548,-0.058884855,1.136873741,0.049762518,-0.031689048,-0.017526169,0.998104368
1520439642.349771976,0.141380431,-0.058556174,1.136439243,0.050423081,-0.032015199,-0.017557707,0.998060252
1520439642.358104944,0.139882708,-0.058528768,1.136172816,0.050184595,-0.031746451,-0.017708293,0.998078196
1520439642.366437912,0.138415156,-0.058367211,1.135828305,0.050356338,-0.031696009,-0.017957636,0.998066694
1520439642.374770880,0.136977969,-0.058206791,1.135537492,0.050601419,-0.031487424,-0.017872116,0.998062436
