#t x y z qx qy qz qw
1520520210.036895275 0.286950225 0.006916124 1.196009699 -0.014138730 -0.012590688 -0.005137546 0.999807570
1520520210.045228243 0.286761073 0.006838555 1.195924237 -0.014171424 -0.013139365 -0.006149594 0.999794334
1520520210.053562403 0.286457986 0.006727993 1.195753689 -0.014188062 -0.013068445 -0.005751542 0.999797397
1520520210.061895370 0.286341745 0.006684190 1.195603004 -0.013675068 -0.013718720 -0.006507847 0.999791197
1520520210.070229292 0.286065764 0.006564683 1.195427713 -0.013654842 -0.013743402 -0.006059732 0.999793951
1520520210.078562260 0.285977692 0.006544097 1.195251838 -0.013189538 -0.014174259 -0.006487344 0.999791499
1520520210.086895466 0.285752446 0.006388866 1.195074497 -0.013406233 -0.014280674 -0.005770714 0.999791495
1520520210.095229387 0.285652155 0.006380112 1.194876753 -0.012930241 -0.014899189 -0.006259559 0.999785797
1520520210.103562355 0.285392192 0.006266521 1.194680804 -0.013191979 -0.015048366 -0.005602724 0.999784041
1520520210.111895323 0.285495189 0.006072515 1.194501655 -0.013102510 -0.015930310 -0.005793683 0.999770465
1520520210.120229244 0.285226239 0.006014666 1.194288887 -0.013090990 -0.015896395 -0.005130667 0.999774778
1520520210.128562450 0.284870569 0.006202966 1.194032414 -0.012250232 -0.016064611 -0.006108642 0.999777247
1520520210.136895418 0.284944870 0.005881438 1.193919775 -0.012694912 -0.016051172 -0.004272608 0.999781448
1520520210.145228386 0.284713910 0.006271426 1.193575954 -0.010514044 -0.017129961 -0.006351500 0.999777814
1520520210.153562307 0.284442690 0.006163368 1.193306195 -0.010838315 -0.017016695 -0.005630309 0.999780607
1520520210.161895275 0.284409997 0.006139673 1.193123005 -0.010514132 -0.017460706 -0.005809692 0.999775387
1520520210.170228243 0.284172174 0.006052338 1.192869842 -0.010926543 -0.017401238 -0.004989478 0.999776431
1520520210.178562403 0.284128937 0.006039966 1.192656247 -0.010462538 -0.017656574 -0.005443777 0.999774548
1520520210.186895370 0.283928626 0.005929172 1.192402599 -0.010906447 -0.017554711 -0.004623433 0.999775728
1520520210.195229292 0.283726775 0.005904710 1.192120520 -0.011210517 -0.017283210 -0.004175922 0.999779064
1520520210.203562260 0.283626256 0.005897543 1.191880558 -0.011200334 -0.017159669 -0.003968668 0.999782150
1520520210.211895466 0.283699900 0.005985336 1.191683058 -0.010489334 -0.017545394 -0.004681515 0.999780084
1520520210.220229387 0.283471434 0.005837717 1.191457281 -0.011405852 -0.016756978 -0.003540320 0.999788266
1520520210.228562355 0.283819159 0.005812944 1.191278006 -0.010870164 -0.017481837 -0.003807588 0.999780840
1520520210.236895323 0.283666803 0.005723377 1.191080687 -0.011483316 -0.017033534 -0.003169630 0.999783950
1520520210.245229244 0.283660302 0.005768863 1.190863004 -0.011661495 -0.017239377 -0.003766022 0.999776290
1520520210.253562450 0.283533102 0.005692581 1.190651878 -0.011998414 -0.016585803 -0.003109876 0.999785616
1520520210.261895418 0.283585235 0.005694732 1.190452318 -0.012020718 -0.016578194 -0.003634974 0.999783703
1520520210.270228386 0.283427290 0.005631396 1.190251287 -0.012493284 -0.015985537 -0.003191352 0.999789076
1520520210.278562307 0.283200312 0.005829216 1.189992799 -0.012035784 -0.015521139 -0.004215861 0.999798210
1520520210.286895275 0.283129387 0.005710593 1.189789551 -0.012455824 -0.014936811 -0.003521277 0.999804653
1520520210.295228243 0.283175328 0.005785478 1.189575845 -0.012177564 -0.014847280 -0.004220443 0.999806708
1520520210.303562403 0.283073855 0.005731929 1.189357740 -0.012506137 -0.014187157 -0.003640261 0.999814518
1520520210.311895370 0.283109170 0.005777984 1.189149738 -0.012458785 -0.013989199 -0.004207797 0.999815671
1520520210.320229292 0.283034517 0.005682760 1.188910464 -0.012697227 -0.013438623 -0.003444445 0.999823144
1520520210.328562260 0.283097777 0.005744359 1.188695940 -0.012546370 -0.013353984 -0.004087909 0.999823759
1520520210.336895466 0.282984850 0.005719651 1.188456274 -0.013019670 -0.012894725 -0.003502464 0.999825958
1520520210.345229387 0.283075503 0.005824474 1.188211581 -0.012699377 -0.012700887 -0.003905962 0.999831064
1520520210.353562355 0.282985999 0.005804201 1.187967575 -0.013019173 -0.012026064 -0.003228551 0.999837712
1520520210.361895323 0.283072157 0.005921521 1.187715732 -0.012803725 -0.012063465 -0.003569156 0.999838886
1520520210.370229244 0.282943649 0.005959028 1.187486140 -0.013187860 -0.011478584 -0.003100006 0.999842344
1520520210.378562450 0.283005076 0.006089009 1.187226363 -0.012911107 -0.011505780 -0.003461008 0.999844459
1520520210.386895418 0.282920407 0.006098217 1.186980841 -0.013061629 -0.010974492 -0.002526238 0.999851275
1520520210.395228386 0.282996001 0.006232119 1.186766166 -0.012847711 -0.011247501 -0.002913740 0.999849959
1520520210.403562307 0.282891270 0.006295454 1.186521285 -0.012805274 -0.011042950 -0.002189100 0.999854632
1520520210.411895275 0.283015210 0.006474645 1.186225647 -0.011775648 -0.011477705 -0.002412901 0.999861878
1520520210.420228243 0.282906489 0.006392935 1.186021403 -0.012825667 -0.010973040 -0.001283313 0.999856714
1520520210.428562403 0.283034678 0.006561048 1.185777499 -0.012326119 -0.011526731 -0.001996776 0.999855597
1520520210.436895370 0.283050127 0.006578669 1.185527679 -0.011895587 -0.011377875 -0.001040284 0.999863969
1520520210.445229292 0.283185453 0.006745532 1.185250804 -0.011152181 -0.011886710 -0.001635453 0.999865821
1520520210.453562260 0.283192348 0.006715745 1.185026384 -0.010956559 -0.011603401 -0.000808904 0.999872322
1520520210.461895466 0.283334060 0.006888220 1.184754739 -0.010037246 -0.011891008 -0.001179599 0.999878226
1520520210.470229387 0.283372099 0.006963877 1.184436128 -0.009620141 -0.011919304 -0.000429606 0.999882592
1520520210.478562355 0.283549982 0.007148302 1.184204557 -0.008745896 -0.012269423 -0.001053446 0.999885924
1520520210.486895323 0.283551267 0.007104167 1.183926035 -0.009202690 -0.012202837 -0.000359097 0.999883129
1520520210.495229244 0.283722614 0.007361914 1.183666882 -0.007625000 -0.012485825 -0.000873414 0.999892595
1520520210.503562450 0.283666388 0.007238960 1.183477829 -0.008433751 -0.012227888 -0.000145892 0.999889659
1520520210.511895418 0.283746733 0.007395062 1.183165373 -0.006909929 -0.012531438 -0.000190066 0.999897585
1520520210.520228386 0.283830200 0.007336530 1.182989065 -0.007316091 -0.012867389 -0.000805424 0.999890122
1520520210.528562307 0.283682037 0.007592250 1.182628388 -0.005974821 -0.013113237 -0.000637121 0.999895964
1520520210.536895275 0.283737049 0.007540664 1.182452602 -0.006357670 -0.013331936 -0.001258418 0.999890122
1520520210.545228243 0.283894094 0.007461071 1.182356747 -0.005574348 -0.013486890 -0.000581622 0.999893340
1520520210.553562403 0.283919047 0.007312847 1.182253891 -0.006328821 -0.013600275 -0.001133102 0.999886841
1520520210.561895370 0.284037007 0.007585828 1.182045577 -0.004099321 -0.014076050 -0.001639618 0.999891180
