t,x,y,z,qx,qy,qz,qw
1520521184.773999929,0.216218268,0.085997523,1.141725195,-0.007893354,-0.028076374,0.008414759,0.999539196
1520521184.782332897,0.216027501,0.086002644,1.141632823,-0.007661807,-0.028339707,0.008074871,0.999536370
1520521184.790666819,0.215851827,0.086028154,1.141564158,-0.007618120,-0.028630796,0.007845348,0.999530236
1520521184.798999786,0.215689387,0.086081283,1.141492404,-0.007490654,-0.028791872,0.007704286,0.999527670
1520521184.807332993,0.215478679,0.086151607,1.141415934,-0.007423006,-0.028898497,0.007518022,0.999526516
1520521184.815666914,0.215265872,0.086251635,1.141316032,-0.007412308,-0.029169264,0.007254727,0.999520676
1520521184.823999882,0.215168788,0.086312735,1.141238508,-0.007268364,-0.029182078,0.007566950,0.999519044
1520521184.832332850,0.215003563,0.086440639,1.141102672,-0.006974949,-0.029297645,0.007796421,0.999515990
1520521184.840665817,0.214818189,0.086596833,1.141001177,-0.006908612,-0.029300190,0.007821751,0.999516178
1520521184.848999977,0.214646369,0.086716063,1.140885519,-0.007001559,-0.029318200,0.008039036,0.999513279
1520521184.857332945,0.214503537,0.086830474,1.140789855,-0.007029012,-0.029297195,0.008300803,0.999511563
1520521184.865665913,0.214324383,0.086947353,1.140744932,-0.007217653,-0.029330732,0.008518415,0.999507404
1520521184.873999834,0.214172874,0.087034677,1.140648347,-0.007366529,-0.029280300,0.008940087,0.999504114
1520521184.882332802,0.214006470,0.087202066,1.140567430,-0.007492449,-0.029188228,0.009195007,0.999503558
1520521184.890666962,0.213800754,0.087331441,1.140456324,-0.007803562,-0.029363078,0.009290418,0.999495174
1520521184.898999929,0.213677064,0.087438406,1.140376526,-0.007771610,-0.029285016,0.009756394,0.999493273
1520521184.907332897,0.213501070,0.087577384,1.140290946,-0.007910966,-0.029564444,0.009794880,0.999483577
1520521184.915666819,0.213328447,0.087722198,1.140179186,-0.008104729,-0.029968084,0.009896564,0.999469002
1520521184.923999786,0.213142822,0.087879836,1.140080535,-0.008010695,-0.030261014,0.010071421,0.999459187
1520521184.932332993,0.213001141,0.087961972,1.139987802,-0.008026484,-0.030469827,0.010322240,0.999450157
1520521184.940666914,0.212769356,0.088029425,1.139929435,-0.008104915,-0.030347248,0.010603938,0.999450305
1520521184.948999882,0.212622175,0.088152062,1.139775169,-0.007791701,-0.030433191,0.010930877,0.999446660
1520521184.957332850,0.212481375,0.088273525,1.139605007,-0.007397147,-0.030492754,0.011227937,0.999444549
1520521184.965665817,0.212357688,0.088359513,1.139445125,-0.006891016,-0.030446582,0.011511645,0.999446348
1520521184.973999977,0.212109623,0.088569677,1.139213395,-0.006729786,-0.030442222,0.011828678,0.999443877
1520521184.982332945,0.212063870,0.088526493,1.139162493,-0.006439203,-0.030243261,0.012135616,0.999448152
1520521184.990665913,0.211885443,0.088605264,1.138973465,-0.005926538,-0.030155245,0.012168773,0.999453580
1520521184.998999834,0.211754151,0.088661433,1.138850010,-0.005547081,-0.030042300,0.012118736,0.999459767
1520521185.007332802,0.211593262,0.088722050,1.138683041,-0.005140611,-0.029902912,0.012245774,0.999464572
1520521185.015666962,0.211442544,0.088759455,1.138566010,-0.005016742,-0.029723857,0.012352263,0.999469232
1520521185.023999929,0.211282118,0.088822766,1.138471758,-0.005046007,-0.029324999,0.012427923,0.999479929
1520521185.032332897,0.211122539,0.088839033,1.138345348,-0.005052570,-0.029010919,0.012575763,0.999487213
1520521185.040666819,0.210945696,0.088848302,1.138214234,-0.005287682,-0.028639667,0.012791892,0.999493961
1520521185.048999786,0.210797530,0.088863314,1.138082680,-0.005419542,-0.028153948,0.013003631,0.999504322
1520521185.057332993,0.210616605,0.088793544,1.138029002,-0.005936456,-0.027535039,0.013589265,0.999510836
1520521185.065666914,0.210470848,0.088903361,1.137869090,-0.005720036,-0.026963971,0.013878361,0.999523695
1520521185.073999882,0.210217942,0.088912297,1.137663830,-0.005736231,-0.026316098,0.014129078,0.999537357
1520521185.082332850,0.210016194,0.088879512,1.137505930,-0.005863430,-0.025608805,0.014576424,0.999548567
1520521185.090665817,0.209814078,0.088828477,1.137360353,-0.005714599,-0.024634767,0.015029591,0.999567198
1520521185.098999977,0.209588649,0.088841375,1.137159995,-0.005500568,-0.023867873,0.015282137,0.999583175
1520521185.107332945,0.209371593,0.088729385,1.137048695,-0.005800362,-0.022874143,0.015578683,0.999600137
1520521185.115665913,0.209165014,0.088627515,1.136933634,-0.006011525,-0.021939750,0.015836727,0.999615780
1520521185.123999834,0.208943615,0.088590336,1.136771324,-0.006275094,-0.021025592,0.016271288,0.999626827
1520521185.132332802,0.208759297,0.088531459,1.136565534,-0.006337006,-0.020229202,0.016501646,0.999639094
1520521185.140666962,0.208520213,0.088400570,1.136369566,-0.006198683,-0.019396059,0.016418998,0.999657834
1520521185.148999929,0.208282498,0.088283510,1.136165343,-0.006108599,-0.018470608,0.016639385,0.999672273
1520521185.157332897,0.208065058,0.088175662,1.136011897,-0.006137713,-0.017658484,0.016875892,0.999682805
1520521185.165666819,0.207818521,0.088110672,1.135817665,-0.005852131,-0.017010996,0.017071882,0.999692417
1520521185.173999786,0.207564805,0.088007129,1.135645925,-0.005957447,-0.016502106,0.017576755,0.999691576
1520521185.182332993,0.207302003,0.087923733,1.135485014,-0.005570779,-0.015931056,0.017956258,0.999696324
1520521185.190666914,0.207014449,0.087792394,1.135349912,-0.005506209,-0.015541150,0.018160089,0.999699137
1520521185.198999882,0.206603167,0.087451933,1.135288866,-0.007616859,-0.015199424,0.018464693,0.999684958
1520521185.207332850,0.206237297,0.087326782,1.135225168,-0.007773533,-0.015221666,0.018802699,0.999677114
1520521185.215665817,0.205833057,0.087200972,1.135230814,-0.007852692,-0.015178600,0.019236162,0.999668903
1520521185.223999977,0.205360781,0.087053655,1.135219573,-0.007709290,-0.015364912,0.019563966,0.999660811
1520521185.232332945,0.204836676,0.086904665,1.135217916,-0.007540868,-0.015752293,0.019727581,0.999652851
1520521185.240665913,0.204251750,0.086713622,1.135199745,-0.007427567,-0.016140150,0.019747676,0.999647116
1520521185.248999834,0.203678787,0.086462417,1.135238914,-0.007499522,-0.016511910,0.019674137,0.999641957
1520521185.257332802,0.203042161,0.086229689,1.135234970,-0.007433096,-0.016888494,0.019473766,0.999640085
1520521185.265666962,0.202381440,0.086063522,1.135095047,-0.006878495,-0.017305993,0.019327300,0.999639757
1520521185.273999929,0.201777017,0.085818260,1.135053840,-0.006386901,-0.017412756,0.019407524,0.999639611
1520521185.282332897,0.201130329,0.085547583,1.135050541,-0.006269736,-0.017716356,0.019260723,0.999637857
1520521185.290666819,0.200413644,0.085363601,1.134955851,-0.006275549,-0.017984396,0.018918581,0.999639568
1520521185.298999786,0.199800963,0.085106219,1.134922479,-0.006080788,-0.018003381,0.018820795,0.999642276
1520521185.307332993,0.199125591,0.084933793,1.134849066,-0.006007192,-0.018168777,0.018697185,0.999642048
1520521185.315666914,0.198423248,0.084725657,1.134700548,-0.005287339,-0.018129819,0.019122076,0.999638785
1520521185.323999882,0.197723502,0.084509956,1.134664508,-0.005094742,-0.018372036,0.019153424,0.999634762
1520521185.332332850,0.196977642,0.084309197,1.134714240,-0.005531264,-0.018684131,0.018748001,0.999634344
1520521185.340665817,0.196265507,0.084045481,1.134676081,-0.004876979,-0.018678438,0.019264725,0.999628032
1520521185.348999977,0.195458282,0.083815331,1.134661708,-0.005121285,-0.019093028,0.019069742,0.999622716
1520521185.357332945,0.194581390,0.083636425,1.134668685,-0.006038639,-0.019386104,0.018962897,0.999613987
1520521185.365665913,0.193781857,0.083405272,1.134636692,-0.005890177,-0.019649766,0.019052543,0.999608020
1520521185.373999834,0.193017701,0.083144376,1.134679326,-0.006015340,-0.019890371,0.018943119,0.999604595
1520521185.382332802,0.192156526,0.082969860,1.134558293,-0.005894315,-0.020218032,0.019080215,0.999596135
1520521185.390666962,0.191360633,0.082732478,1.134524085,-0.005911779,-0.020374909,0.019361500,0.999587438
1520521185.398999929,0.190577561,0.082565418,1.134440100,-0.005466342,-0.020436544,0.019682977,0.999582436
1520521185.407332897,0.189828303,0.082325476,1.134393513,-0.005231248,-0.020433483,0.020088051,0.999575699
1520521185.415666819,0.189045858,0.082120316,1.134259136,-0.004588736,-0.020451226,0.020378360,0.999572615
1520521185.423999786,0.188288228,0.081861858,1.134117039,-0.004407541,-0.020670071,0.020709680,0.999562120
1520521185.432332993,0.187538175,0.081607609,1.133964829,-0.004056338,-0.020622170,0.021134758,0.999555698
1520521185.440666914,0.186810300,0.081406105,1.133776907,-0.003191144,-0.020538798,0.021430924,0.999554246
1520521185.448999882,0.186041491,0.081040927,1.133695137,-0.003169367,-0.020493041,0.022038810,0.999542036
1520521185.457332850,0.185266152,0.080798586,1.133527251,-0.003100165,-0.020627940,0.022336952,0.999532860
1520521185.465665817,0.184471815,0.080594617,1.133305217,-0.002962362,-0.020964199,0.022560862,0.999521253
1520521185.473999977,0.183665870,0.080307840,1.133208125,-0.002781542,-0.021033968,0.023187663,0.999505962
1520521185.482332945,0.182872301,0.079975777,1.133054093,-0.002929665,-0.021585608,0.023905735,0.999476860
1520521185.490665913,0.182091198,0.079581473,1.133074051,-0.003840132,-0.022229401,0.024163309,0.999453471
1520521185.498999834,0.181179413,0.079345757,1.133012957,-0.003460133,-0.022308349,0.024774963,0.999438125
1520521185.507332802,0.180321320,0.078996725,1.132958204,-0.003465092,-0.022941366,0.025036421,0.999417262
1520521185.515666962,0.179324669,0.078658752,1.132903372,-0.004144727,-0.023496625,0.024830432,0.999406914
1520521185.523999929,0.178344345,0.078246735,1.132794299,-0.004437782,-0.023857988,0.024868641,0.999396144
1520521185.532332897,0.177330261,0.077744390,1.132703092,-0.004486770,-0.024301038,0.024616665,0.999391489
1520521185.540666819,0.176342951,0.077191336,1.132615642,-0.004191750,-0.024623297,0.024348123,0.999391461
1520521185.548999786,0.175199772,0.076623479,1.132490555,-0.004244090,-0.025175147,0.023521030,0.999397299
1520521185.557332993,0.174401896,0.076668525,1.131762985,-0.000951486,-0.027713991,0.021605857,0.999381917
